# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     422.34
2                     421.84
4                     423.38
8                     424.21
16                    423.54
32                    423.90
64                    425.34
128                   428.64
256                   425.35
512                   437.52
1024                  493.33
2048                  498.84
4096                  456.67
8192                  504.53
16384                 534.20
32768                 577.39
65536                 749.15
131072               1030.90
262144               1736.97
524288               3191.00
1048576              7187.14
