# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       8.99
8                       8.78
16                      8.82
32                      9.12
64                      9.13
128                     9.70
256                    11.47
512                    11.59
1024                   12.01
2048                   18.40
4096                   14.28
8192                   25.39
16384                  34.87
32768                  50.75
65536                  69.70
131072                 99.92
262144                160.42
524288                257.55
1048576               450.92
