# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.67
2                      18.10
4                      18.48
8                      19.93
16                     21.54
32                     23.35
64                     24.07
128                    26.52
256                    31.07
512                    33.23
1024                   36.19
2048                   47.47
4096                   78.15
8192                  127.95
16384                 228.39
32768                 427.99
65536                 691.20
131072               1356.57
262144               2683.55
524288               5342.55
1048576             10737.41
