# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.36
2                      18.47
4                      18.48
8                      20.77
16                     21.31
32                     21.51
64                     25.19
128                    26.80
256                    28.72
512                    31.96
1024                   33.94
2048                   36.90
4096                   43.31
8192                   69.18
16384                 105.15
32768                 179.58
65536                 314.23
131072                585.36
262144               1133.95
524288               2368.20
1048576              5073.69
