# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       3.06
8                       3.19
16                      3.10
32                      2.97
64                      3.50
128                     3.80
256                     4.30
512                     4.55
1024                    4.93
2048                    5.84
4096                    7.00
8192                   11.29
16384                  17.25
32768                  26.20
65536                  45.12
131072                 71.61
262144                127.71
524288                243.90
1048576               478.28
