# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.41
2                      26.56
4                      28.53
8                      38.41
16                     38.80
32                     39.31
64                     42.08
128                    44.12
256                    70.25
512                    83.83
1024                   67.80
2048                   69.17
4096                   69.67
8192                  101.89
16384                 158.40
32768                 285.20
65536                 563.99
131072               1176.46
262144               2560.02
524288               4846.63
1048576              9677.47
