# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       9.60
8                       9.67
16                      9.62
32                      9.82
64                      9.87
128                    10.28
256                    12.95
512                    13.09
1024                   13.50
2048                   14.17
4096                   15.28
8192                   27.81
16384                  35.19
32768                  45.47
65536                  62.87
131072                 96.81
262144                167.63
524288                313.06
1048576               612.67
