# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.43
2                      10.38
4                      10.38
8                      10.45
16                     10.01
32                     10.30
64                     11.25
128                    12.17
256                    12.65
512                    12.89
1024                   13.44
2048                   15.26
4096                   18.26
8192                   22.25
16384                  28.42
32768                  41.18
65536                  67.43
131072                124.54
262144                236.28
524288                477.46
1048576               923.24
