# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.50
2                       9.43
4                       9.40
8                       9.50
16                      9.44
32                      9.62
64                     10.73
128                    12.00
256                    12.47
512                    12.74
1024                   13.28
2048                   15.04
4096                   18.18
8192                   21.90
16384                  27.50
32768                  39.36
65536                  62.87
131072                109.99
262144                205.67
524288                402.73
1048576               812.26
