# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.35
8                      24.38
16                     24.23
32                     36.95
64                     38.42
128                    40.11
256                    42.21
512                    43.84
1024                   45.74
2048                   53.82
4096                   56.32
8192                   79.40
16384                 109.75
32768                 163.82
65536                 246.06
131072                430.25
262144                826.95
524288               1604.00
1048576              3150.33
