# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.09
2                      18.23
4                      18.28
8                      20.74
16                     21.13
32                     21.38
64                     25.16
128                    26.41
256                    27.93
512                    32.27
1024                   33.64
2048                   37.50
4096                   44.67
8192                   60.15
16384                  85.22
32768                 138.08
65536                 246.24
131072                460.64
262144                981.73
524288               2221.38
1048576              4723.00
