# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.32
2                      18.36
4                      18.30
8                      19.81
16                     24.66
32                     24.91
64                     33.00
128                    27.50
256                    30.04
512                    28.25
1024                   28.76
2048                   31.33
4096                   35.41
8192                   55.43
16384                  82.31
32768                 136.32
65536                 246.88
131072                499.43
262144                968.10
524288               2246.11
1048576              4684.00
