# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.52
2                      18.73
4                      19.07
8                      20.39
16                     21.67
32                     23.34
64                     24.25
128                    26.70
256                    31.19
512                    33.26
1024                   36.41
2048                   48.75
4096                   73.20
8192                  121.51
16384                 215.15
32768                 409.80
65536                 797.73
131072               1577.96
262144               3137.12
524288               6260.34
1048576             12431.64
