# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     252.17
8                     252.42
16                    233.77
32                    234.08
64                    107.17
128                   109.58
256                   113.72
512                   121.97
1024                  132.06
2048                  149.97
4096                  155.80
8192                  301.14
16384                 331.52
32768                 322.47
65536                 336.61
131072                412.70
262144                435.54
524288                486.17
1048576               628.22
