# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      34.46
2                      36.51
4                      38.65
8                      40.91
16                     49.50
32                     60.99
64                     75.57
128                   113.20
256                   125.45
512                   263.67
1024                  312.37
2048                  396.26
4096                  543.21
8192                 1066.88
16384                1602.50
32768                2701.60
65536                4922.78
131072               9488.23
262144              18892.55
524288              37587.82
1048576             75311.43
