
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       6.53
2                      12.93
4                      25.82
8                      51.93
16                    105.56
32                    190.82
64                    317.14
128                   578.02
256                  1213.92
512                  2423.49
1024                 4077.68
2048                 5677.47
4096                 9889.83
8192                19570.75
16384               35423.28
32768               53448.57
65536               70441.03
131072              85916.00
262144              85298.83
524288              64643.70
1048576             50708.55
2097152             46978.46
4194304             45460.05
