# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      59.16
8                      57.87
16                     58.00
32                     57.49
64                     74.78
128                    76.62
256                    84.00
512                    85.90
1024                   92.49
2048                  101.24
4096                  111.15
8192                  119.66
16384                 134.58
32768                 175.48
65536                 215.77
131072                321.64
262144                546.44
524288               1015.79
1048576              1950.72
