# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.56
8                      29.67
16                     29.62
32                     29.45
64                     29.63
128                    30.81
256                    32.22
512                    32.48
1024                   32.87
2048                   34.89
4096                   36.13
8192                   46.24
16384                  48.23
32768                  53.08
65536                  67.39
131072                 83.60
262144                107.43
524288                165.64
1048576               286.61
