# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.82
8                      30.57
16                     30.51
32                     30.73
64                     31.07
128                    31.28
256                    35.86
512                    36.20
1024                   38.24
2048                   40.18
4096                   42.11
8192                   56.44
16384                  58.97
32768                  71.13
65536                  86.86
131072                109.88
262144                161.55
524288                269.18
1048576               482.77
