# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.34
2                      43.75
4                      43.88
8                      43.87
16                     43.95
32                     43.68
64                     44.06
128                    43.78
256                    43.87
512                    43.50
1024                   43.43
2048                   43.44
4096                   44.06
8192                   43.76
16384                  44.50
32768                  44.28
65536                  45.70
131072                 47.33
262144                 50.29
524288                 57.77
1048576                69.44
