# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.26
2                      38.80
4                      39.62
8                      38.97
16                     38.89
32                     39.23
64                     39.15
128                    39.04
256                    38.45
512                    39.37
1024                   39.19
2048                   38.52
4096                   38.68
8192                   39.75
16384                  41.89
32768                  41.34
65536                  43.99
131072                 44.46
262144                 46.96
524288                 58.03
1048576                73.82
